Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Afghanistan,AFG,65.141
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Albania,ALB,19.5724
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Algeria,DZA,9.8338
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,American Samoa,ASM,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Andorra,AND,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Angola,AGO,147.958
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Antigua and Barbuda,ATG,41.831
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Argentina,ARG,62.5654
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Armenia,ARM,20.886
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Aruba,ABW,21.1736
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Australia,AUS,11.3258
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Austria,AUT,7.0444
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Azerbaijan,AZE,56.4976
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Bahamas, The",BHS,29.2254
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bahrain,BHR,13.239
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bangladesh,BGD,82.3128
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Barbados,BRB,31.1302
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belarus,BLR,13.7516
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belgium,BEL,4.5704
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belize,BLZ,68.049
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Benin,BEN,84.0364
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bermuda,BMU,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bhutan,BTN,18.895
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bolivia,BOL,63.9042
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bosnia and Herzegovina,BIH,9.149
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Botswana,BWA,45.358
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Brazil,BRA,57.8858
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,British Virgin Islands,VGB,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Brunei Darussalam,BRN,9.7116
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bulgaria,BGR,39.3266
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Burkina Faso,BFA,102.0658
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Burundi,BDI,54.7516
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cabo Verde,CPV,72.6946
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cambodia,KHM,50.7204
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cameroon,CMR,103.4938
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Canada,CAN,8.0346
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cayman Islands,CYM,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Central African Republic,CAF,126.9636
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Chad,TCD,157.9144
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Channel Islands,CHI,6.6386
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Chile,CHL,40.1384
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,China,CHN,7.643
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Colombia,COL,65.482
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Comoros,COM,64.0606
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Congo, Dem. Rep.",COD,122.6056
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Congo, Rep.",COG,110.9356
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Costa Rica,CRI,52.5186
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cote d'Ivoire,CIV,116.1584
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Croatia,HRV,8.2652
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cuba,CUB,51.5156
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Curacao,CUW,27.6142
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cyprus,CYP,4.4586
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Czech Republic,CZE,11.9314
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Denmark,DNK,4.169
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Djibouti,DJI,18.4434
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Dominica,DMA,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Dominican Republic,DOM,93.0342
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ecuador,ECU,78.7626
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Egypt, Arab Rep.",EGY,53.086
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,El Salvador,SLV,68.6136
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Equatorial Guinea,GNQ,153.4524
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Eritrea,ERI,50.7028
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Estonia,EST,7.0988
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Eswatini,SWZ,75.3554
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ethiopia,ETH,65.0748
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Faroe Islands,FRO,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Fiji,FJI,49.1406
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Finland,FIN,5.6588
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,France,FRA,4.7362
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,French Polynesia,PYF,38.487
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Gabon,GAB,93.5644
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Gambia, The",GMB,75.7058
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Georgia,GEO,45.1848
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Germany,DEU,7.8568
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ghana,GHA,65.7842
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Gibraltar,GIB,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Greece,GRC,6.9376
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Greenland,GRL,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Grenada,GRD,28.1938
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guam,GUM,30.6066
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guatemala,GTM,69.756
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guinea,GIN,133.365
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guinea-Bissau,GNB,103.2252
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Guyana,GUY,72.8682
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Haiti,HTI,50.9536
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Honduras,HND,71.8464
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Hong Kong SAR, China",HKG,2.6462
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Hungary,HUN,24.2756
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Iceland,ISL,5.9066
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,India,IND,12.0708
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Indonesia,IDN,46.9052
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Iran, Islamic Rep.",IRN,40.6932
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Iraq,IRQ,71.7416
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ireland,IRL,7.0566
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Isle of Man,IMN,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Israel,ISR,9.192
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Italy,ITA,5.11
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Jamaica,JAM,51.3186
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Japan,JPN,3.6644
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Jordan,JOR,25.8414
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kazakhstan,KAZ,29.364
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kenya,KEN,74.044
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kiribati,KIR,15.4046
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Korea, Dem. People’s Rep.",PRK,0.286
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Korea, Rep.",KOR,1.3204
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kosovo,XKX,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kuwait,KWT,7.8858
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Kyrgyz Republic,KGZ,32.4414
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lao PDR,LAO,64.939
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Latvia,LVA,15.8014
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lebanon,LBN,14.2238
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lesotho,LSO,92.578
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Liberia,LBR,135.5662
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Libya,LBY,5.7148
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Liechtenstein,LIE,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lithuania,LTU,10.2026
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Luxembourg,LUX,4.6038
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Macao SAR, China",MAC,2.3036
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Madagascar,MDG,107.7374
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Malawi,MWI,132.0948
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Malaysia,MYS,13.4668
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Maldives,MDV,7.4138
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Mali,MLI,166.8668
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Malta,MLT,12.4966
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Marshall Islands,MHL,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Mauritania,MRT,69.628
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Mauritius,MUS,25.2786
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Mexico,MEX,59.4542
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Micronesia, Fed. Sts.",FSM,13.2274
