Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Agricultural land (% of land area),AG.LND.AGRI.ZS,Afghanistan,AFG,58.0675795729559
Agricultural land (% of land area),AG.LND.AGRI.ZS,Albania,ALB,43.1277354442292
Agricultural land (% of land area),AG.LND.AGRI.ZS,Algeria,DZA,17.3655391515237
Agricultural land (% of land area),AG.LND.AGRI.ZS,American Samoa,ASM,24.5000004768372
Agricultural land (% of land area),AG.LND.AGRI.ZS,Andorra,AND,39.9574482694585
Agricultural land (% of land area),AG.LND.AGRI.ZS,Angola,AGO,47.4773401780701
Agricultural land (% of land area),AG.LND.AGRI.ZS,Antigua and Barbuda,ATG,20.4545454545455
Agricultural land (% of land area),AG.LND.AGRI.ZS,Argentina,ARG,54.3357121193851
Agricultural land (% of land area),AG.LND.AGRI.ZS,Armenia,ARM,58.8970863655824
Agricultural land (% of land area),AG.LND.AGRI.ZS,Aruba,ABW,11.1111111111111
Agricultural land (% of land area),AG.LND.AGRI.ZS,Australia,AUS,48.2419442487149
Agricultural land (% of land area),AG.LND.AGRI.ZS,Austria,AUT,32.3566761396415
Agricultural land (% of land area),AG.LND.AGRI.ZS,Azerbaijan,AZE,57.7355751784202
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Bahamas, The",BHS,1.3986013986014
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bahrain,BHR,11.0539846325564
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bangladesh,BGD,70.6323266569678
Agricultural land (% of land area),AG.LND.AGRI.ZS,Barbados,BRB,23.2558139534884
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belarus,BLR,42.0354891269939
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belgium,BEL,44.6103054434653
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belize,BLZ,7.01446733888645
Agricultural land (% of land area),AG.LND.AGRI.ZS,Benin,BEN,33.2564739269244
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bermuda,BMU,5.55555567819886
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bhutan,BTN,13.6063342409668
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bolivia,BOL,34.7872242222838
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bosnia and Herzegovina,BIH,43.14453125
Agricultural land (% of land area),AG.LND.AGRI.ZS,Botswana,BWA,45.6330167970197
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brazil,BRA,33.9245334488295
Agricultural land (% of land area),AG.LND.AGRI.ZS,British Virgin Islands,VGB,46.6666666666667
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brunei Darussalam,BRN,2.73244774545167
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bulgaria,BGR,46.2509211495947
Agricultural land (% of land area),AG.LND.AGRI.ZS,Burkina Faso,BFA,44.2251461988304
Agricultural land (% of land area),AG.LND.AGRI.ZS,Burundi,BDI,79.1666666666667
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cabo Verde,CPV,19.6029776674938
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cambodia,KHM,30.9030138227963
Agricultural land (% of land area),AG.LND.AGRI.ZS,Cameroon,CMR,20.6257536333058
