Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Afghanistan,AFG,24433.446
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Albania,ALB,2935
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Algeria,DZA,77463
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,American Samoa,ASM,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Andorra,AND,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Angola,AGO,13978
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Antigua and Barbuda,ATG,23206.966273393
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Argentina,ARG,161688
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Armenia,ARM,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Aruba,ABW,2276
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Australia,AUS,665384
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Austria,AUT,130260
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Azerbaijan,AZE,19960
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Bahamas, The",BHS,56629.4566997085
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bahrain,BHR,57094
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bangladesh,BGD,101383.465723099
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Barbados,BRB,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belarus,BLR,31676
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belgium,BEL,140674
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belize,BLZ,125681.690865347
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Benin,BEN,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bermuda,BMU,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bhutan,BTN,5187
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bolivia,BOL,56592
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bosnia and Herzegovina,BIH,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Botswana,BWA,6774
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Brazil,BRA,832683
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,British Virgin Islands,VGB,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Brunei Darussalam,BRN,11310
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bulgaria,BGR,11435
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burkina Faso,BFA,4270
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burundi,BDI,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cabo Verde,CPV,1546
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cambodia,KHM,14387
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cameroon,CMR,5550
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Canada,CAN,1475062.58618088
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cayman Islands,CYM,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Central African Republic,CAF,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Chad,TCD,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Channel Islands,CHI,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Chile,CHL,134661
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,China,CHN,4692008
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Colombia,COL,358847
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Comoros,COM,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Congo, Dem. Rep.",COD,18612.1962447002
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Congo, Rep.",COG,8439
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Costa Rica,CRI,39730
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cote d'Ivoire,CIV,15188
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Croatia,HRV,27189
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cuba,CUB,8733.666
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Curacao,CUW,..
