Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Afghanistan,AFG,66
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Albania,ALB,99
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Algeria,DZA,91
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,American Samoa,ASM,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Andorra,AND,99
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Angola,AGO,59
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Antigua and Barbuda,ATG,95
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Argentina,ARG,86
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Armenia,ARM,92
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Aruba,ABW,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Australia,AUS,95
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Austria,AUT,85
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Azerbaijan,AZE,95
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,"Bahamas, The",BHS,90
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Bahrain,BHR,99
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Bangladesh,BGD,98
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Barbados,BRB,95
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Belarus,BLR,97
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Belgium,BEL,98
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Belize,BLZ,96
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Benin,BEN,76
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Bermuda,BMU,..
