Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,31.684671361915
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,25.6235469492722
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,68.8679245283019
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,14.2805176122688
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,37.806510148503
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,21.8046575994119
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,55.7558550041256
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,54.2921305509467
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The",BHS,36.0803251639905
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain,BHR,79.9361919652325
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh,BGD,14.800958178109
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,41.9892332361516
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,70.1993858596361
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,82.5757394527161
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize,BLZ,57.702247465587
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,35.383601152018
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda,BMU,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan,BTN,30.8201275602703
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia,BOL,25.9887947757567
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina,BIH,40.5871867847099
