Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,4.473
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1.617
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,3.023
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,American Samoa,ASM,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,AND,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,5.519
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1.994
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2.261
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Armenia,ARM,1.755
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Aruba,ABW,1.896
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Australia,AUS,1.74
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Austria,AUT,1.52
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Azerbaijan,AZE,1.8
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Bahamas, The",BHS,1.752
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bahrain,BHR,1.987
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bangladesh,BGD,2.036
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Barbados,BRB,1.619
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belarus,BLR,1.448
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belgium,BEL,1.65
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belize,BLZ,2.307
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Benin,BEN,4.836
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bermuda,BMU,1.6
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bhutan,BTN,1.975
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bolivia,BOL,2.73
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bosnia and Herzegovina,BIH,1.265
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Botswana,BWA,2.874
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Brazil,BRA,1.73
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,British Virgin Islands,VGB,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Brunei Darussalam,BRN,1.848
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bulgaria,BGR,1.56
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Burkina Faso,BFA,5.189
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Burundi,BDI,5.41
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cabo Verde,CPV,2.274
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cambodia,KHM,2.503
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cameroon,CMR,4.572
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Canada,CAN,1.4988
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cayman Islands,CYM,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central African Republic,CAF,4.721
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Chad,TCD,5.747
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Channel Islands,CHI,1.51
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Chile,CHL,1.649
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,China,CHN,1.69
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Colombia,COL,1.807
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Comoros,COM,4.205
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Dem. Rep.",COD,5.919
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Rep.",COG,4.428
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Costa Rica,CRI,1.754
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cote d'Ivoire,CIV,4.649
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Croatia,HRV,1.47
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cuba,CUB,1.618
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Curacao,CUW,1.7
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cyprus,CYP,1.329
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Czech Republic,CZE,1.69
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Denmark,DNK,1.75
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Djibouti,DJI,2.728
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Dominica,DMA,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Dominican Republic,DOM,2.346
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ecuador,ECU,2.427
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Egypt, Arab Rep.",EGY,3.326
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,El Salvador,SLV,2.039
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Equatorial Guinea,GNQ,4.513
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Eritrea,ERI,4.056
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Estonia,EST,1.59
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Eswatini,SWZ,2.99
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ethiopia,ETH,4.247
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Faroe Islands,FRO,2.5
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Fiji,FJI,2.774
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Finland,FIN,1.49
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,France,FRA,1.9
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,French Polynesia,PYF,1.941
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Gabon,GAB,3.969
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Gambia, The",GMB,5.219
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Georgia,GEO,2.06
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Germany,DEU,1.56
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ghana,GHA,3.87
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Gibraltar,GIB,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Greece,GRC,1.35
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Greenland,GRL,2
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Grenada,GRD,2.063
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guam,GUM,2.313
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guatemala,GTM,2.87
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guinea,GIN,4.7
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guinea-Bissau,GNB,4.476
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guyana,GUY,2.462
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Haiti,HTI,2.935
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Honduras,HND,2.46
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Hong Kong SAR, China",HKG,1.072
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Hungary,HUN,1.54
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Iceland,ISL,1.71
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,India,IND,2.222
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Indonesia,IDN,2.311
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Iran, Islamic Rep.",IRN,2.137
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Iraq,IRQ,3.672
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ireland,IRL,1.77
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Isle of Man,IMN,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Israel,ISR,3.09
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Italy,ITA,1.32
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Jamaica,JAM,1.979
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Japan,JPN,1.42
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Jordan,JOR,2.761
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kazakhstan,KAZ,2.84
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kenya,KEN,3.492
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kiribati,KIR,3.569
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Korea, Dem. People’s Rep.",PRK,1.904
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Korea, Rep.",KOR,0.977
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kosovo,XKX,2
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kuwait,KWT,2.082
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kyrgyz Republic,KGZ,3.3
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lao PDR,LAO,2.667
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latvia,LVA,1.69
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lebanon,LBN,2.087
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lesotho,LSO,3.141
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Liberia,LBR,4.315
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Libya,LBY,2.24
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Liechtenstein,LIE,1.44
