Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Afghanistan,AFG,550
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Albania,ALB,4860
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Algeria,DZA,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,American Samoa,ASM,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Andorra,AND,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Angola,AGO,3370
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Antigua and Barbuda,ATG,15890
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Argentina,ARG,12390
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Armenia,ARM,4230
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Aruba,ABW,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Australia,AUS,53230
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Austria,AUT,49310
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Azerbaijan,AZE,4050
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Bahamas, The",BHS,30520
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bahrain,BHR,21890
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bangladesh,BGD,1750
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Barbados,BRB,15410
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belarus,BLR,5670
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belgium,BEL,45910
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belize,BLZ,4470
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Benin,BEN,870
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bermuda,BMU,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bhutan,BTN,2970
