Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Afghanistan,AFG,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Albania,ALB,45.3977304984143
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Algeria,DZA,32.3410220592228
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,American Samoa,ASM,99.3710691823899
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Andorra,AND,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Angola,AGO,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Antigua and Barbuda,ATG,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Argentina,ARG,16.4199284119137
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Armenia,ARM,53.4824517351464
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Aruba,ABW,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Australia,AUS,21.3876035202283
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Austria,AUT,52.0344068166518
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Azerbaijan,AZE,37.7191179640388
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Bahamas, The",BHS,41.2700712302306
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bahrain,BHR,71.6572121891948
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bangladesh,BGD,23.4439348097981
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Barbados,BRB,40.8905996112731
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belarus,BLR,69.1440943074798
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belgium,BEL,82.7389120694672
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belize,BLZ,58.0078191642862
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Benin,BEN,44.1906620897664
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bermuda,BMU,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bhutan,BTN,55.8915879319988
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bolivia,BOL,31.1211697950131
