Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Afghanistan,AFG,3.10262204071831
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Albania,ALB,48.1951679829468
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Algeria,DZA,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,American Samoa,ASM,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Andorra,AND,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Angola,AGO,1.3457717330498
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Antigua and Barbuda,ATG,84.3106823458553
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Argentina,ARG,7.8567752744146
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Armenia,ARM,26.3171955762686
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Aruba,ABW,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Australia,AUS,14.4613912959537
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Austria,AUT,10.0119483521856
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Azerbaijan,AZE,11.1048009507593
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,"Bahamas, The",BHS,77.246799590927
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Bahrain,BHR,12.7386670908223
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Bangladesh,BGD,0.808262579200289
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Barbados,BRB,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Belarus,BLR,2.89012552281448
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Belgium,BEL,2.31501757164638
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Belize,BLZ,45.2063565065369
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Benin,BEN,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Bermuda,BMU,36.9476958882668
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Bhutan,BTN,15.5411911787977
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Bolivia,BOL,9.3767084989034
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Bosnia and Herzegovina,BIH,12.7259930289803
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Botswana,BWA,7.8366555775719
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Brazil,BRA,2.29983252453008
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,British Virgin Islands,VGB,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Brunei Darussalam,BRN,2.69850388505865
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Bulgaria,BGR,11.6729699630456
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Burkina Faso,BFA,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Burundi,BDI,1.36791479575936
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Cabo Verde,CPV,53.5842255392712
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Cambodia,KHM,26.2409950521192
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Cameroon,CMR,8.66996592573408
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Canada,CAN,4.03415384669407
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Cayman Islands,CYM,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Central African Republic,CAF,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Chad,TCD,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Channel Islands,CHI,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Chile,CHL,4.63342178600577
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,China,CHN,1.52341960462756
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Colombia,COL,12.2508998097043
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Comoros,COM,50.4351159740491
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,"Congo, Dem. Rep.",COD,0.376205306165348
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,"Congo, Rep.",COG,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Costa Rica,CRI,19.3973474852318
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Cote d'Ivoire,CIV,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Croatia,HRV,38.5868735951335
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Cuba,CUB,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Curacao,CUW,31.5679164213214
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Cyprus,CYP,18.9232403187276
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Czech Republic,CZE,4.31227059186259
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Denmark,DNK,4.59775437271808
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Djibouti,DJI,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Dominica,DMA,68.538006850991
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Dominican Republic,DOM,37.4460793296255
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Ecuador,ECU,7.61486108501925
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,"Egypt, Arab Rep.",EGY,24.6108510877487
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,El Salvador,SLV,18.1877160490933
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Equatorial Guinea,GNQ,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Eritrea,ERI,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Estonia,EST,10.2228003517302
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Eswatini,SWZ,0.863933573703219
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Ethiopia,ETH,46.5352282793683
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Faroe Islands,FRO,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Fiji,FJI,51.3240403469038
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Finland,FIN,5.27907315743818
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,France,FRA,8.07752900565779
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,French Polynesia,PYF,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Gabon,GAB,..
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,"Gambia, The",GMB,48.2694865019217
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Georgia,GEO,39.5431186389124
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Germany,DEU,3.22285053527186
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Ghana,GHA,4.42376536974536
