Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Afghanistan,AFG,10
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Albania,ALB,8
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Algeria,DZA,2
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,American Samoa,ASM,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Andorra,AND,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Angola,AGO,1
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Antigua and Barbuda,ATG,5
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Argentina,ARG,2
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Armenia,ARM,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Aruba,ABW,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Australia,AUS,11
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Austria,AUT,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Azerbaijan,AZE,8
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Bahamas, The",BHS,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bahrain,BHR,1
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bangladesh,BGD,5
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Barbados,BRB,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Belarus,BLR,3
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Belgium,BEL,8
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Belize,BLZ,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Benin,BEN,6
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bermuda,BMU,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bhutan,BTN,4
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bolivia,BOL,0
