Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Afghanistan,AFG,64
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Albania,ALB,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Algeria,DZA,80
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,American Samoa,ASM,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Andorra,AND,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Angola,AGO,50
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Antigua and Barbuda,ATG,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Argentina,ARG,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Armenia,ARM,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Aruba,ABW,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Australia,AUS,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Austria,AUT,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Azerbaijan,AZE,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Bahamas, The",BHS,89
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bahrain,BHR,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bangladesh,BGD,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Barbados,BRB,85
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Belarus,BLR,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Belgium,BEL,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Belize,BLZ,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Benin,BEN,71
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bermuda,BMU,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bhutan,BTN,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bolivia,BOL,89
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bosnia and Herzegovina,BIH,68
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Botswana,BWA,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Brazil,BRA,84
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,British Virgin Islands,VGB,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Brunei Darussalam,BRN,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bulgaria,BGR,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Burkina Faso,BFA,88
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Burundi,BDI,88
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cabo Verde,CPV,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cambodia,KHM,84
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cameroon,CMR,71
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Canada,CAN,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cayman Islands,CYM,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Central African Republic,CAF,49
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Chad,TCD,37
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Channel Islands,CHI,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Chile,CHL,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,China,CHN,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Colombia,COL,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Comoros,COM,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Congo, Dem. Rep.",COD,80
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Congo, Rep.",COG,75
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Costa Rica,CRI,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cote d'Ivoire,CIV,71
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Croatia,HRV,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cuba,CUB,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Curacao,CUW,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cyprus,CYP,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Czech Republic,CZE,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Denmark,DNK,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Djibouti,DJI,86
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Dominica,DMA,84
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Dominican Republic,DOM,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ecuador,ECU,83
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Egypt, Arab Rep.",EGY,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,El Salvador,SLV,81
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Equatorial Guinea,GNQ,30
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Eritrea,ERI,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Estonia,EST,87
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Eswatini,SWZ,89
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ethiopia,ETH,61
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Faroe Islands,FRO,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Fiji,FJI,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Finland,FIN,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,France,FRA,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,French Polynesia,PYF,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Gabon,GAB,59
