Series Name,Series Code,Country Name,Country Code,2017 [YR2017]
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Afghanistan,AFG,43.6825260049196
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Albania,ALB,18.0283124879298
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Algeria,DZA,29.6395901838038
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,American Samoa,ASM,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Andorra,AND,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Angola,AGO,46.9530162996215
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Antigua and Barbuda,ATG,22.2318864879593
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Argentina,ARG,24.9267703815041
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Armenia,ARM,20.4543887834485
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Aruba,ABW,17.9801833608564
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Australia,AUS,19.0650374095674
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Austria,AUT,14.2309193719975
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Azerbaijan,AZE,23.2876635802595
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,"Bahamas, The",BHS,22.8740946418514
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Bahrain,BHR,19.8414940069983
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Bangladesh,BGD,28.2245879874421
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Barbados,BRB,17.6402358925627
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Belarus,BLR,16.7078878812592
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Belgium,BEL,17.0364792638156
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Belize,BLZ,30.903560432074
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Benin,BEN,42.6685773263257
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Bermuda,BMU,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Bhutan,BTN,26.2193805218338
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Bolivia,BOL,31.5346173965445
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Bosnia and Herzegovina,BIH,14.7957123995793
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Botswana,BWA,34.4388412211802
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Brazil,BRA,21.6838368026363
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,British Virgin Islands,VGB,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Brunei Darussalam,BRN,23.495958517974
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Bulgaria,BGR,14.4447319823993
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Burkina Faso,BFA,45.1815311583238
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Burundi,BDI,45.5554940838286
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Cabo Verde,CPV,29.1831783560125
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Cambodia,KHM,31.272428607452
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Cameroon,CMR,42.8673276351495
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Canada,CAN,15.8700368165769
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Cayman Islands,CYM,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Central African Republic,CAF,44.6462300123389
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Chad,TCD,47.4005732131307
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Channel Islands,CHI,15.3268312927993
