Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Afghanistan,AFG,2.58492693988024
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Albania,ALB,13.7447359109736
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Algeria,DZA,6.36249654497986
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,American Samoa,ASM,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Andorra,AND,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Angola,AGO,2.21637364776329
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Antigua and Barbuda,ATG,8.79982551980558
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Argentina,ARG,11.1177888760774
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Armenia,ARM,11.2538176570131
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Aruba,ABW,13.5509471396854
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Australia,AUS,15.6564752275591
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Austria,AUT,19.0015664595899
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Azerbaijan,AZE,6.19518275071493
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Bahamas, The",BHS,7.25760235662035
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bahrain,BHR,2.42633387832394
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bangladesh,BGD,5.15839063962068
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Barbados,BRB,15.8026939621338
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Belarus,BLR,14.8451481743098
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Belgium,BEL,18.7887437383395
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Belize,BLZ,4.73645877657144
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Benin,BEN,3.25360529746338
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bermuda,BMU,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bhutan,BTN,6.00301171280561
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bolivia,BOL,7.19194739218447
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bosnia and Herzegovina,BIH,16.4703174710621
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Botswana,BWA,4.22387434629301
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Brazil,BRA,8.92283783244003
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,British Virgin Islands,VGB,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Brunei Darussalam,BRN,4.87314756750582
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bulgaria,BGR,21.021914434268
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Burkina Faso,BFA,2.40698082866355
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Burundi,BDI,2.24694046033717
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cabo Verde,CPV,4.60932715666821
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cambodia,KHM,4.56868001756576
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cameroon,CMR,2.72887735524057
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Canada,CAN,17.2320066788651
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cayman Islands,CYM,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Central African Republic,CAF,2.82577370666008
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Chad,TCD,2.48051894434901
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Channel Islands,CHI,17.2974621552033
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Chile,CHL,11.5298016568816
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,China,CHN,10.9208835350654
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Colombia,COL,8.47804701986958
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Comoros,COM,3.00700930649436
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Congo, Dem. Rep.",COD,3.01784062159803
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Congo, Rep.",COG,2.68171953903232
