Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,2.38476110022344
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.246732042281782
Population growth (annual %),SP.POP.GROW,Algeria,DZA,2.00737383000812
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-0.279065761519574
Population growth (annual %),SP.POP.GROW,Andorra,AND,0.00649321134981403
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.27613387502724
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.897185120114641
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.01580834908002
Population growth (annual %),SP.POP.GROW,Armenia,ARM,0.236306378760517
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.453575638777095
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.53610551570388
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.487071924768999
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,0.866608673169798
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,1.01095334432863
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,4.92116137205662
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.05004464945676
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.142439722865012
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-0.155570407004577
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.509444678207556
Population growth (annual %),SP.POP.GROW,Belize,BLZ,1.92457576999509
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.73486201301479
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,0.154992641763463
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,1.17684339517943
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.42189948560338
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-0.826854592009436
Population growth (annual %),SP.POP.GROW,Botswana,BWA,2.197675757572
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.783847578971981
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,0.757847309225455
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.05199374278845
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-0.722080405222853
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.86707836702633
Population growth (annual %),SP.POP.GROW,Burundi,BDI,3.16677344240935
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,1.15976676910969
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.49035537141766
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2.61229075104427
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.39794779099322
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,1.2418234783193
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,1.51905153699811
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.02357969868233
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,1.0814932456123
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.39101054110467
Population growth (annual %),SP.POP.GROW,China,CHN,0.455899678672578
Population growth (annual %),SP.POP.GROW,Colombia,COL,1.51727089084319
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.23917061120128
