Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Rural population (% of total population),SP.RUR.TOTL.ZS,Afghanistan,AFG,74.505
Rural population (% of total population),SP.RUR.TOTL.ZS,Albania,ALB,39.681
Rural population (% of total population),SP.RUR.TOTL.ZS,Algeria,DZA,27.371
Rural population (% of total population),SP.RUR.TOTL.ZS,American Samoa,ASM,12.847
Rural population (% of total population),SP.RUR.TOTL.ZS,Andorra,AND,11.938
Rural population (% of total population),SP.RUR.TOTL.ZS,Angola,AGO,34.486
Rural population (% of total population),SP.RUR.TOTL.ZS,Antigua and Barbuda,ATG,75.401
Rural population (% of total population),SP.RUR.TOTL.ZS,Argentina,ARG,8.13
Rural population (% of total population),SP.RUR.TOTL.ZS,Armenia,ARM,36.851
Rural population (% of total population),SP.RUR.TOTL.ZS,Aruba,ABW,56.589
Rural population (% of total population),SP.RUR.TOTL.ZS,Australia,AUS,13.988
Rural population (% of total population),SP.RUR.TOTL.ZS,Austria,AUT,41.703
Rural population (% of total population),SP.RUR.TOTL.ZS,Azerbaijan,AZE,44.32
Rural population (% of total population),SP.RUR.TOTL.ZS,"Bahamas, The",BHS,16.975
Rural population (% of total population),SP.RUR.TOTL.ZS,Bahrain,BHR,10.713
Rural population (% of total population),SP.RUR.TOTL.ZS,Bangladesh,BGD,63.368
Rural population (% of total population),SP.RUR.TOTL.ZS,Barbados,BRB,68.853
Rural population (% of total population),SP.RUR.TOTL.ZS,Belarus,BLR,21.405
Rural population (% of total population),SP.RUR.TOTL.ZS,Belgium,BEL,1.999
Rural population (% of total population),SP.RUR.TOTL.ZS,Belize,BLZ,54.276
Rural population (% of total population),SP.RUR.TOTL.ZS,Benin,BEN,52.688
Rural population (% of total population),SP.RUR.TOTL.ZS,Bermuda,BMU,0
Rural population (% of total population),SP.RUR.TOTL.ZS,Bhutan,BTN,59.105
Rural population (% of total population),SP.RUR.TOTL.ZS,Bolivia,BOL,30.575
Rural population (% of total population),SP.RUR.TOTL.ZS,Bosnia and Herzegovina,BIH,51.755
Rural population (% of total population),SP.RUR.TOTL.ZS,Botswana,BWA,30.554
Rural population (% of total population),SP.RUR.TOTL.ZS,Brazil,BRA,13.431
Rural population (% of total population),SP.RUR.TOTL.ZS,British Virgin Islands,VGB,52.277
Rural population (% of total population),SP.RUR.TOTL.ZS,Brunei Darussalam,BRN,22.371
Rural population (% of total population),SP.RUR.TOTL.ZS,Bulgaria,BGR,24.992
Rural population (% of total population),SP.RUR.TOTL.ZS,Burkina Faso,BFA,70.642
Rural population (% of total population),SP.RUR.TOTL.ZS,Burundi,BDI,86.968
Rural population (% of total population),SP.RUR.TOTL.ZS,Cabo Verde,CPV,34.268
Rural population (% of total population),SP.RUR.TOTL.ZS,Cambodia,KHM,76.612
Rural population (% of total population),SP.RUR.TOTL.ZS,Cameroon,CMR,43.626
Rural population (% of total population),SP.RUR.TOTL.ZS,Canada,CAN,18.589
Rural population (% of total population),SP.RUR.TOTL.ZS,Cayman Islands,CYM,0
Rural population (% of total population),SP.RUR.TOTL.ZS,Central African Republic,CAF,58.636
Rural population (% of total population),SP.RUR.TOTL.ZS,Chad,TCD,76.941
Rural population (% of total population),SP.RUR.TOTL.ZS,Channel Islands,CHI,69.086
Rural population (% of total population),SP.RUR.TOTL.ZS,Chile,CHL,12.436
Rural population (% of total population),SP.RUR.TOTL.ZS,China,CHN,40.848
Rural population (% of total population),SP.RUR.TOTL.ZS,Colombia,COL,19.222
Rural population (% of total population),SP.RUR.TOTL.ZS,Comoros,COM,71.035
Rural population (% of total population),SP.RUR.TOTL.ZS,"Congo, Dem. Rep.",COD,55.54
Rural population (% of total population),SP.RUR.TOTL.ZS,"Congo, Rep.",COG,33.084
Rural population (% of total population),SP.RUR.TOTL.ZS,Costa Rica,CRI,20.66
Rural population (% of total population),SP.RUR.TOTL.ZS,Cote d'Ivoire,CIV,49.221
Rural population (% of total population),SP.RUR.TOTL.ZS,Croatia,HRV,43.053
Rural population (% of total population),SP.RUR.TOTL.ZS,Cuba,CUB,22.963
Rural population (% of total population),SP.RUR.TOTL.ZS,Curacao,CUW,10.855
Rural population (% of total population),SP.RUR.TOTL.ZS,Cyprus,CYP,33.19
Rural population (% of total population),SP.RUR.TOTL.ZS,Czech Republic,CZE,26.208
Rural population (% of total population),SP.RUR.TOTL.ZS,Denmark,DNK,12.126
Rural population (% of total population),SP.RUR.TOTL.ZS,Djibouti,DJI,22.223
Rural population (% of total population),SP.RUR.TOTL.ZS,Dominica,DMA,29.517
Rural population (% of total population),SP.RUR.TOTL.ZS,Dominican Republic,DOM,18.926
Rural population (% of total population),SP.RUR.TOTL.ZS,Ecuador,ECU,36.179
Rural population (% of total population),SP.RUR.TOTL.ZS,"Egypt, Arab Rep.",EGY,57.296
Rural population (% of total population),SP.RUR.TOTL.ZS,El Salvador,SLV,27.977
Rural population (% of total population),SP.RUR.TOTL.ZS,Equatorial Guinea,GNQ,27.857
Rural population (% of total population),SP.RUR.TOTL.ZS,Eritrea,ERI,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Estonia,EST,31.12
Rural population (% of total population),SP.RUR.TOTL.ZS,Eswatini,SWZ,76.201
Rural population (% of total population),SP.RUR.TOTL.ZS,Ethiopia,ETH,79.237
Rural population (% of total population),SP.RUR.TOTL.ZS,Faroe Islands,FRO,57.936
Rural population (% of total population),SP.RUR.TOTL.ZS,Fiji,FJI,43.752
Rural population (% of total population),SP.RUR.TOTL.ZS,Finland,FIN,14.618
Rural population (% of total population),SP.RUR.TOTL.ZS,France,FRA,19.556
Rural population (% of total population),SP.RUR.TOTL.ZS,French Polynesia,PYF,38.166
Rural population (% of total population),SP.RUR.TOTL.ZS,Gabon,GAB,10.63
Rural population (% of total population),SP.RUR.TOTL.ZS,"Gambia, The",GMB,38.73
Rural population (% of total population),SP.RUR.TOTL.ZS,Georgia,GEO,41.368
Rural population (% of total population),SP.RUR.TOTL.ZS,Germany,DEU,22.688
Rural population (% of total population),SP.RUR.TOTL.ZS,Ghana,GHA,43.94
Rural population (% of total population),SP.RUR.TOTL.ZS,Gibraltar,GIB,0
Rural population (% of total population),SP.RUR.TOTL.ZS,Greece,GRC,20.942
Rural population (% of total population),SP.RUR.TOTL.ZS,Greenland,GRL,13.184
Rural population (% of total population),SP.RUR.TOTL.ZS,Grenada,GRD,63.728
Rural population (% of total population),SP.RUR.TOTL.ZS,Guam,GUM,5.22
Rural population (% of total population),SP.RUR.TOTL.ZS,Guatemala,GTM,48.946
Rural population (% of total population),SP.RUR.TOTL.ZS,Guinea,GIN,63.86
Rural population (% of total population),SP.RUR.TOTL.ZS,Guinea-Bissau,GNB,56.64
Rural population (% of total population),SP.RUR.TOTL.ZS,Guyana,GUY,73.394
Rural population (% of total population),SP.RUR.TOTL.ZS,Haiti,HTI,44.722
Rural population (% of total population),SP.RUR.TOTL.ZS,Honduras,HND,42.904
Rural population (% of total population),SP.RUR.TOTL.ZS,"Hong Kong SAR, China",HKG,0
Rural population (% of total population),SP.RUR.TOTL.ZS,Hungary,HUN,28.649
Rural population (% of total population),SP.RUR.TOTL.ZS,Iceland,ISL,6.187
Rural population (% of total population),SP.RUR.TOTL.ZS,India,IND,65.97
Rural population (% of total population),SP.RUR.TOTL.ZS,Indonesia,IDN,44.675
Rural population (% of total population),SP.RUR.TOTL.ZS,"Iran, Islamic Rep.",IRN,25.102
Rural population (% of total population),SP.RUR.TOTL.ZS,Iraq,IRQ,29.527
