Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Fish species, threatened",EN.FSH.THRD.NO,Afghanistan,AFG,4
"Fish species, threatened",EN.FSH.THRD.NO,Albania,ALB,44
"Fish species, threatened",EN.FSH.THRD.NO,Algeria,DZA,41
"Fish species, threatened",EN.FSH.THRD.NO,American Samoa,ASM,12
"Fish species, threatened",EN.FSH.THRD.NO,Andorra,AND,0
"Fish species, threatened",EN.FSH.THRD.NO,Angola,AGO,53
"Fish species, threatened",EN.FSH.THRD.NO,Antigua and Barbuda,ATG,31
"Fish species, threatened",EN.FSH.THRD.NO,Argentina,ARG,42
"Fish species, threatened",EN.FSH.THRD.NO,Armenia,ARM,3
"Fish species, threatened",EN.FSH.THRD.NO,Aruba,ABW,24
"Fish species, threatened",EN.FSH.THRD.NO,Australia,AUS,125
"Fish species, threatened",EN.FSH.THRD.NO,Austria,AUT,11
"Fish species, threatened",EN.FSH.THRD.NO,Azerbaijan,AZE,14
"Fish species, threatened",EN.FSH.THRD.NO,"Bahamas, The",BHS,43
"Fish species, threatened",EN.FSH.THRD.NO,Bahrain,BHR,14
"Fish species, threatened",EN.FSH.THRD.NO,Bangladesh,BGD,29
"Fish species, threatened",EN.FSH.THRD.NO,Barbados,BRB,29
"Fish species, threatened",EN.FSH.THRD.NO,Belarus,BLR,2
"Fish species, threatened",EN.FSH.THRD.NO,Belgium,BEL,13
"Fish species, threatened",EN.FSH.THRD.NO,Belize,BLZ,45
"Fish species, threatened",EN.FSH.THRD.NO,Benin,BEN,40
"Fish species, threatened",EN.FSH.THRD.NO,Bermuda,BMU,27
"Fish species, threatened",EN.FSH.THRD.NO,Bhutan,BTN,3
"Fish species, threatened",EN.FSH.THRD.NO,Bolivia,BOL,8
"Fish species, threatened",EN.FSH.THRD.NO,Bosnia and Herzegovina,BIH,36
"Fish species, threatened",EN.FSH.THRD.NO,Botswana,BWA,2
"Fish species, threatened",EN.FSH.THRD.NO,Brazil,BRA,93
"Fish species, threatened",EN.FSH.THRD.NO,British Virgin Islands,VGB,31
"Fish species, threatened",EN.FSH.THRD.NO,Brunei Darussalam,BRN,14
"Fish species, threatened",EN.FSH.THRD.NO,Bulgaria,BGR,22
"Fish species, threatened",EN.FSH.THRD.NO,Burkina Faso,BFA,4
"Fish species, threatened",EN.FSH.THRD.NO,Burundi,BDI,17
"Fish species, threatened",EN.FSH.THRD.NO,Cabo Verde,CPV,35
"Fish species, threatened",EN.FSH.THRD.NO,Cambodia,KHM,48
"Fish species, threatened",EN.FSH.THRD.NO,Cameroon,CMR,122
"Fish species, threatened",EN.FSH.THRD.NO,Canada,CAN,44
"Fish species, threatened",EN.FSH.THRD.NO,Cayman Islands,CYM,31
"Fish species, threatened",EN.FSH.THRD.NO,Central African Republic,CAF,3
"Fish species, threatened",EN.FSH.THRD.NO,Chad,TCD,1
"Fish species, threatened",EN.FSH.THRD.NO,Channel Islands,CHI,..
"Fish species, threatened",EN.FSH.THRD.NO,Chile,CHL,27
"Fish species, threatened",EN.FSH.THRD.NO,China,CHN,136
"Fish species, threatened",EN.FSH.THRD.NO,Colombia,COL,99
"Fish species, threatened",EN.FSH.THRD.NO,Comoros,COM,11
"Fish species, threatened",EN.FSH.THRD.NO,"Congo, Dem. Rep.",COD,94
"Fish species, threatened",EN.FSH.THRD.NO,"Congo, Rep.",COG,57
"Fish species, threatened",EN.FSH.THRD.NO,Costa Rica,CRI,64
"Fish species, threatened",EN.FSH.THRD.NO,Cote d'Ivoire,CIV,59
"Fish species, threatened",EN.FSH.THRD.NO,Croatia,HRV,64
"Fish species, threatened",EN.FSH.THRD.NO,Cuba,CUB,44
"Fish species, threatened",EN.FSH.THRD.NO,Curacao,CUW,28
"Fish species, threatened",EN.FSH.THRD.NO,Cyprus,CYP,24
"Fish species, threatened",EN.FSH.THRD.NO,Czech Republic,CZE,2
"Fish species, threatened",EN.FSH.THRD.NO,Denmark,DNK,18
"Fish species, threatened",EN.FSH.THRD.NO,Djibouti,DJI,23
"Fish species, threatened",EN.FSH.THRD.NO,Dominica,DMA,31
"Fish species, threatened",EN.FSH.THRD.NO,Dominican Republic,DOM,29
"Fish species, threatened",EN.FSH.THRD.NO,Ecuador,ECU,61
"Fish species, threatened",EN.FSH.THRD.NO,"Egypt, Arab Rep.",EGY,58
"Fish species, threatened",EN.FSH.THRD.NO,El Salvador,SLV,17
"Fish species, threatened",EN.FSH.THRD.NO,Equatorial Guinea,GNQ,44
"Fish species, threatened",EN.FSH.THRD.NO,Eritrea,ERI,29
"Fish species, threatened",EN.FSH.THRD.NO,Estonia,EST,5
"Fish species, threatened",EN.FSH.THRD.NO,Eswatini,SWZ,5
"Fish species, threatened",EN.FSH.THRD.NO,Ethiopia,ETH,14
"Fish species, threatened",EN.FSH.THRD.NO,Faroe Islands,FRO,13
"Fish species, threatened",EN.FSH.THRD.NO,Fiji,FJI,20
"Fish species, threatened",EN.FSH.THRD.NO,Finland,FIN,6
"Fish species, threatened",EN.FSH.THRD.NO,France,FRA,53
"Fish species, threatened",EN.FSH.THRD.NO,French Polynesia,PYF,28
"Fish species, threatened",EN.FSH.THRD.NO,Gabon,GAB,72
"Fish species, threatened",EN.FSH.THRD.NO,"Gambia, The",GMB,35
"Fish species, threatened",EN.FSH.THRD.NO,Georgia,GEO,11
"Fish species, threatened",EN.FSH.THRD.NO,Germany,DEU,24
"Fish species, threatened",EN.FSH.THRD.NO,Ghana,GHA,58
"Fish species, threatened",EN.FSH.THRD.NO,Gibraltar,GIB,18
"Fish species, threatened",EN.FSH.THRD.NO,Greece,GRC,80
"Fish species, threatened",EN.FSH.THRD.NO,Greenland,GRL,9
"Fish species, threatened",EN.FSH.THRD.NO,Grenada,GRD,29
"Fish species, threatened",EN.FSH.THRD.NO,Guam,GUM,14
"Fish species, threatened",EN.FSH.THRD.NO,Guatemala,GTM,41
"Fish species, threatened",EN.FSH.THRD.NO,Guinea,GIN,76
"Fish species, threatened",EN.FSH.THRD.NO,Guinea-Bissau,GNB,41
