Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Mammal species, threatened",EN.MAM.THRD.NO,Afghanistan,AFG,11
"Mammal species, threatened",EN.MAM.THRD.NO,Albania,ALB,3
"Mammal species, threatened",EN.MAM.THRD.NO,Algeria,DZA,14
"Mammal species, threatened",EN.MAM.THRD.NO,American Samoa,ASM,1
"Mammal species, threatened",EN.MAM.THRD.NO,Andorra,AND,2
"Mammal species, threatened",EN.MAM.THRD.NO,Angola,AGO,18
"Mammal species, threatened",EN.MAM.THRD.NO,Antigua and Barbuda,ATG,2
"Mammal species, threatened",EN.MAM.THRD.NO,Argentina,ARG,38
"Mammal species, threatened",EN.MAM.THRD.NO,Armenia,ARM,9
"Mammal species, threatened",EN.MAM.THRD.NO,Aruba,ABW,2
"Mammal species, threatened",EN.MAM.THRD.NO,Australia,AUS,63
"Mammal species, threatened",EN.MAM.THRD.NO,Austria,AUT,3
"Mammal species, threatened",EN.MAM.THRD.NO,Azerbaijan,AZE,8
"Mammal species, threatened",EN.MAM.THRD.NO,"Bahamas, The",BHS,5
"Mammal species, threatened",EN.MAM.THRD.NO,Bahrain,BHR,3
"Mammal species, threatened",EN.MAM.THRD.NO,Bangladesh,BGD,37
"Mammal species, threatened",EN.MAM.THRD.NO,Barbados,BRB,3
"Mammal species, threatened",EN.MAM.THRD.NO,Belarus,BLR,4
"Mammal species, threatened",EN.MAM.THRD.NO,Belgium,BEL,2
"Mammal species, threatened",EN.MAM.THRD.NO,Belize,BLZ,10
"Mammal species, threatened",EN.MAM.THRD.NO,Benin,BEN,13
"Mammal species, threatened",EN.MAM.THRD.NO,Bermuda,BMU,4
"Mammal species, threatened",EN.MAM.THRD.NO,Bhutan,BTN,25
"Mammal species, threatened",EN.MAM.THRD.NO,Bolivia,BOL,21
"Mammal species, threatened",EN.MAM.THRD.NO,Bosnia and Herzegovina,BIH,4
"Mammal species, threatened",EN.MAM.THRD.NO,Botswana,BWA,11
"Mammal species, threatened",EN.MAM.THRD.NO,Brazil,BRA,80
"Mammal species, threatened",EN.MAM.THRD.NO,British Virgin Islands,VGB,1
"Mammal species, threatened",EN.MAM.THRD.NO,Brunei Darussalam,BRN,33
"Mammal species, threatened",EN.MAM.THRD.NO,Bulgaria,BGR,8
"Mammal species, threatened",EN.MAM.THRD.NO,Burkina Faso,BFA,9
"Mammal species, threatened",EN.MAM.THRD.NO,Burundi,BDI,14
"Mammal species, threatened",EN.MAM.THRD.NO,Cabo Verde,CPV,4
"Mammal species, threatened",EN.MAM.THRD.NO,Cambodia,KHM,39
"Mammal species, threatened",EN.MAM.THRD.NO,Cameroon,CMR,46
"Mammal species, threatened",EN.MAM.THRD.NO,Canada,CAN,18
"Mammal species, threatened",EN.MAM.THRD.NO,Cayman Islands,CYM,1
"Mammal species, threatened",EN.MAM.THRD.NO,Central African Republic,CAF,16
"Mammal species, threatened",EN.MAM.THRD.NO,Chad,TCD,16
"Mammal species, threatened",EN.MAM.THRD.NO,Channel Islands,CHI,..
"Mammal species, threatened",EN.MAM.THRD.NO,Chile,CHL,19
"Mammal species, threatened",EN.MAM.THRD.NO,China,CHN,73
"Mammal species, threatened",EN.MAM.THRD.NO,Colombia,COL,58
"Mammal species, threatened",EN.MAM.THRD.NO,Comoros,COM,5
"Mammal species, threatened",EN.MAM.THRD.NO,"Congo, Dem. Rep.",COD,32
"Mammal species, threatened",EN.MAM.THRD.NO,"Congo, Rep.",COG,15
"Mammal species, threatened",EN.MAM.THRD.NO,Costa Rica,CRI,11
"Mammal species, threatened",EN.MAM.THRD.NO,Cote d'Ivoire,CIV,31
"Mammal species, threatened",EN.MAM.THRD.NO,Croatia,HRV,9
"Mammal species, threatened",EN.MAM.THRD.NO,Cuba,CUB,10
"Mammal species, threatened",EN.MAM.THRD.NO,Curacao,CUW,3
"Mammal species, threatened",EN.MAM.THRD.NO,Cyprus,CYP,6
"Mammal species, threatened",EN.MAM.THRD.NO,Czech Republic,CZE,3
"Mammal species, threatened",EN.MAM.THRD.NO,Denmark,DNK,2
"Mammal species, threatened",EN.MAM.THRD.NO,Djibouti,DJI,11
"Mammal species, threatened",EN.MAM.THRD.NO,Dominica,DMA,3
"Mammal species, threatened",EN.MAM.THRD.NO,Dominican Republic,DOM,7
"Mammal species, threatened",EN.MAM.THRD.NO,Ecuador,ECU,47
"Mammal species, threatened",EN.MAM.THRD.NO,"Egypt, Arab Rep.",EGY,18
"Mammal species, threatened",EN.MAM.THRD.NO,El Salvador,SLV,6
"Mammal species, threatened",EN.MAM.THRD.NO,Equatorial Guinea,GNQ,23
"Mammal species, threatened",EN.MAM.THRD.NO,Eritrea,ERI,15
"Mammal species, threatened",EN.MAM.THRD.NO,Estonia,EST,1
"Mammal species, threatened",EN.MAM.THRD.NO,Eswatini,SWZ,9
"Mammal species, threatened",EN.MAM.THRD.NO,Ethiopia,ETH,34
"Mammal species, threatened",EN.MAM.THRD.NO,Faroe Islands,FRO,4
"Mammal species, threatened",EN.MAM.THRD.NO,Fiji,FJI,7
"Mammal species, threatened",EN.MAM.THRD.NO,Finland,FIN,2
"Mammal species, threatened",EN.MAM.THRD.NO,France,FRA,9
"Mammal species, threatened",EN.MAM.THRD.NO,French Polynesia,PYF,0
"Mammal species, threatened",EN.MAM.THRD.NO,Gabon,GAB,18
"Mammal species, threatened",EN.MAM.THRD.NO,"Gambia, The",GMB,10
"Mammal species, threatened",EN.MAM.THRD.NO,Georgia,GEO,9
"Mammal species, threatened",EN.MAM.THRD.NO,Germany,DEU,5
"Mammal species, threatened",EN.MAM.THRD.NO,Ghana,GHA,21
"Mammal species, threatened",EN.MAM.THRD.NO,Gibraltar,GIB,3
"Mammal species, threatened",EN.MAM.THRD.NO,Greece,GRC,10
"Mammal species, threatened",EN.MAM.THRD.NO,Greenland,GRL,9
"Mammal species, threatened",EN.MAM.THRD.NO,Grenada,GRD,3
"Mammal species, threatened",EN.MAM.THRD.NO,Guam,GUM,3
"Mammal species, threatened",EN.MAM.THRD.NO,Guatemala,GTM,15
"Mammal species, threatened",EN.MAM.THRD.NO,Guinea,GIN,30
"Mammal species, threatened",EN.MAM.THRD.NO,Guinea-Bissau,GNB,14
"Mammal species, threatened",EN.MAM.THRD.NO,Guyana,GUY,11
"Mammal species, threatened",EN.MAM.THRD.NO,Haiti,HTI,4
"Mammal species, threatened",EN.MAM.THRD.NO,Honduras,HND,8
"Mammal species, threatened",EN.MAM.THRD.NO,"Hong Kong SAR, China",HKG,4
"Mammal species, threatened",EN.MAM.THRD.NO,Hungary,HUN,3
"Mammal species, threatened",EN.MAM.THRD.NO,Iceland,ISL,6
"Mammal species, threatened",EN.MAM.THRD.NO,India,IND,93
"Mammal species, threatened",EN.MAM.THRD.NO,Indonesia,IDN,191
"Mammal species, threatened",EN.MAM.THRD.NO,"Iran, Islamic Rep.",IRN,18
"Mammal species, threatened",EN.MAM.THRD.NO,Iraq,IRQ,13
"Mammal species, threatened",EN.MAM.THRD.NO,Ireland,IRL,5
"Mammal species, threatened",EN.MAM.THRD.NO,Isle of Man,IMN,0
