Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Plant species (higher), threatened",EN.HPT.THRD.NO,Afghanistan,AFG,5
"Plant species (higher), threatened",EN.HPT.THRD.NO,Albania,ALB,4
"Plant species (higher), threatened",EN.HPT.THRD.NO,Algeria,DZA,22
"Plant species (higher), threatened",EN.HPT.THRD.NO,American Samoa,ASM,1
"Plant species (higher), threatened",EN.HPT.THRD.NO,Andorra,AND,0
"Plant species (higher), threatened",EN.HPT.THRD.NO,Angola,AGO,34
"Plant species (higher), threatened",EN.HPT.THRD.NO,Antigua and Barbuda,ATG,4
"Plant species (higher), threatened",EN.HPT.THRD.NO,Argentina,ARG,70
"Plant species (higher), threatened",EN.HPT.THRD.NO,Armenia,ARM,74
"Plant species (higher), threatened",EN.HPT.THRD.NO,Aruba,ABW,2
"Plant species (higher), threatened",EN.HPT.THRD.NO,Australia,AUS,108
"Plant species (higher), threatened",EN.HPT.THRD.NO,Austria,AUT,17
"Plant species (higher), threatened",EN.HPT.THRD.NO,Azerbaijan,AZE,44
"Plant species (higher), threatened",EN.HPT.THRD.NO,"Bahamas, The",BHS,7
"Plant species (higher), threatened",EN.HPT.THRD.NO,Bahrain,BHR,0
"Plant species (higher), threatened",EN.HPT.THRD.NO,Bangladesh,BGD,23
"Plant species (higher), threatened",EN.HPT.THRD.NO,Barbados,BRB,3
"Plant species (higher), threatened",EN.HPT.THRD.NO,Belarus,BLR,1
"Plant species (higher), threatened",EN.HPT.THRD.NO,Belgium,BEL,0
"Plant species (higher), threatened",EN.HPT.THRD.NO,Belize,BLZ,46
"Plant species (higher), threatened",EN.HPT.THRD.NO,Benin,BEN,20
"Plant species (higher), threatened",EN.HPT.THRD.NO,Bermuda,BMU,8
"Plant species (higher), threatened",EN.HPT.THRD.NO,Bhutan,BTN,43
"Plant species (higher), threatened",EN.HPT.THRD.NO,Bolivia,BOL,106
"Plant species (higher), threatened",EN.HPT.THRD.NO,Bosnia and Herzegovina,BIH,3
"Plant species (higher), threatened",EN.HPT.THRD.NO,Botswana,BWA,3
"Plant species (higher), threatened",EN.HPT.THRD.NO,Brazil,BRA,558
"Plant species (higher), threatened",EN.HPT.THRD.NO,British Virgin Islands,VGB,20
"Plant species (higher), threatened",EN.HPT.THRD.NO,Brunei Darussalam,BRN,127
"Plant species (higher), threatened",EN.HPT.THRD.NO,Bulgaria,BGR,9
"Plant species (higher), threatened",EN.HPT.THRD.NO,Burkina Faso,BFA,4
"Plant species (higher), threatened",EN.HPT.THRD.NO,Burundi,BDI,89
"Plant species (higher), threatened",EN.HPT.THRD.NO,Cabo Verde,CPV,51
"Plant species (higher), threatened",EN.HPT.THRD.NO,Cambodia,KHM,37
"Plant species (higher), threatened",EN.HPT.THRD.NO,Cameroon,CMR,555
"Plant species (higher), threatened",EN.HPT.THRD.NO,Canada,CAN,18
"Plant species (higher), threatened",EN.HPT.THRD.NO,Cayman Islands,CYM,22
