Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Afghanistan,AFG,25.495
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Albania,ALB,60.319
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Algeria,DZA,72.629
Urban population (% of total population),SP.URB.TOTL.IN.ZS,American Samoa,ASM,87.153
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Andorra,AND,88.062
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Angola,AGO,65.514
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Antigua and Barbuda,ATG,24.599
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Argentina,ARG,91.87
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Armenia,ARM,63.149
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Aruba,ABW,43.411
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Australia,AUS,86.012
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Austria,AUT,58.297
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Azerbaijan,AZE,55.68
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Bahamas, The",BHS,83.025
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bahrain,BHR,89.287
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bangladesh,BGD,36.632
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Barbados,BRB,31.147
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belarus,BLR,78.595
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belgium,BEL,98.001
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belize,BLZ,45.724
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Benin,BEN,47.312
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bermuda,BMU,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bhutan,BTN,40.895
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bolivia,BOL,69.425
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bosnia and Herzegovina,BIH,48.245
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Botswana,BWA,69.446
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Brazil,BRA,86.569
Urban population (% of total population),SP.URB.TOTL.IN.ZS,British Virgin Islands,VGB,47.723
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Brunei Darussalam,BRN,77.629
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bulgaria,BGR,75.008
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Burkina Faso,BFA,29.358
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Burundi,BDI,13.032
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cabo Verde,CPV,65.732
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cambodia,KHM,23.388
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cameroon,CMR,56.374
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Canada,CAN,81.411
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cayman Islands,CYM,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Central African Republic,CAF,41.364
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Chad,TCD,23.059
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Channel Islands,CHI,30.914
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Chile,CHL,87.564
Urban population (% of total population),SP.URB.TOTL.IN.ZS,China,CHN,59.152
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Colombia,COL,80.778
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Comoros,COM,28.965
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Congo, Dem. Rep.",COD,44.46
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Congo, Rep.",COG,66.916
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Costa Rica,CRI,79.34
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cote d'Ivoire,CIV,50.779
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Croatia,HRV,56.947
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cuba,CUB,77.037
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Curacao,CUW,89.145
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cyprus,CYP,66.81
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Czech Republic,CZE,73.792
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Denmark,DNK,87.874
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Djibouti,DJI,77.777
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Dominica,DMA,70.483
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Dominican Republic,DOM,81.074
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ecuador,ECU,63.821
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Egypt, Arab Rep.",EGY,42.704
Urban population (% of total population),SP.URB.TOTL.IN.ZS,El Salvador,SLV,72.023
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Equatorial Guinea,GNQ,72.143
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Eritrea,ERI,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Estonia,EST,68.88
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Eswatini,SWZ,23.799
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ethiopia,ETH,20.763
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Faroe Islands,FRO,42.064
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Fiji,FJI,56.248
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Finland,FIN,85.382
Urban population (% of total population),SP.URB.TOTL.IN.ZS,France,FRA,80.444
Urban population (% of total population),SP.URB.TOTL.IN.ZS,French Polynesia,PYF,61.834
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Gabon,GAB,89.37
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Gambia, The",GMB,61.27
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Georgia,GEO,58.632
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Germany,DEU,77.312
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ghana,GHA,56.06
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Gibraltar,GIB,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Greece,GRC,79.058
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Greenland,GRL,86.816
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Grenada,GRD,36.272
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guam,GUM,94.78
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guatemala,GTM,51.054
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guinea,GIN,36.14
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guinea-Bissau,GNB,43.36
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guyana,GUY,26.606
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Haiti,HTI,55.278
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Honduras,HND,57.096
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Hong Kong SAR, China",HKG,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Hungary,HUN,71.351
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Iceland,ISL,93.813
Urban population (% of total population),SP.URB.TOTL.IN.ZS,India,IND,34.03
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Indonesia,IDN,55.325
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Iran, Islamic Rep.",IRN,74.898
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Iraq,IRQ,70.473
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ireland,IRL,63.17
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Isle of Man,IMN,52.588
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Israel,ISR,92.418
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Italy,ITA,70.438
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Jamaica,JAM,55.674
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Japan,JPN,91.616
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Jordan,JOR,90.979
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kazakhstan,KAZ,57.428
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kenya,KEN,27.03
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kiribati,KIR,54.057
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Korea, Dem. People’s Rep.",PRK,61.899
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Korea, Rep.",KOR,81.459
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kosovo,XKX,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kuwait,KWT,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kyrgyz Republic,KGZ,36.351
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lao PDR,LAO,35.004
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latvia,LVA,68.142
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lebanon,LBN,88.593
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lesotho,LSO,28.153
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Liberia,LBR,51.151
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Libya,LBY,80.102
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Liechtenstein,LIE,14.338
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lithuania,LTU,67.679
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Luxembourg,LUX,90.981
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Macao SAR, China",MAC,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Madagascar,MDG,37.191
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Malawi,MWI,16.937
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Malaysia,MYS,76.036
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Maldives,MDV,39.808
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mali,MLI,42.356
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Malta,MLT,94.612
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Marshall Islands,MHL,77.031
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mauritania,MRT,53.672
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mauritius,MUS,40.793
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mexico,MEX,80.156
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Micronesia, Fed. Sts.",FSM,22.703
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Moldova,MDA,42.629
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Monaco,MCO,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mongolia,MNG,68.445
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Montenegro,MNE,66.813
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Morocco,MAR,62.453
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mozambique,MOZ,35.988
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Myanmar,MMR,30.579
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Namibia,NAM,50.032
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Nauru,NRU,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Nepal,NPL,19.74
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Netherlands,NLD,91.49
Urban population (% of total population),SP.URB.TOTL.IN.ZS,New Caledonia,NCL,70.683
Urban population (% of total population),SP.URB.TOTL.IN.ZS,New Zealand,NZL,86.538
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Nicaragua,NIC,58.522
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Niger,NER,16.425
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Nigeria,NGA,50.344
Urban population (% of total population),SP.URB.TOTL.IN.ZS,North Macedonia,MKD,57.963
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Northern Mariana Islands,MNP,91.618
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Norway,NOR,82.248
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Oman,OMN,84.539
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pakistan,PAK,36.666
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Palau,PLW,79.93
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Panama,PAN,67.709
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Papua New Guinea,PNG,13.169
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Paraguay,PRY,61.585
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Peru,PER,77.907
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Philippines,PHL,46.907
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Poland,POL,60.058
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Portugal,PRT,65.211
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Puerto Rico,PRI,93.578
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Qatar,QAT,99.135
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Romania,ROU,53.998
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Russian Federation,RUS,74.433
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Rwanda,RWA,17.211
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Samoa,WSM,18.243
Urban population (% of total population),SP.URB.TOTL.IN.ZS,San Marino,SMR,97.226
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sao Tome and Principe,STP,72.803
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Saudi Arabia,SAU,83.844
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Senegal,SEN,47.192
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Serbia,SRB,56.092
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Seychelles,SYC,56.691
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sierra Leone,SLE,42.055
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Singapore,SGP,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sint Maarten (Dutch part),SXM,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Slovak Republic,SVK,53.726
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Slovenia,SVN,54.541
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Solomon Islands,SLB,23.749
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Somalia,SOM,44.971
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Africa,ZAF,66.355
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Sudan,SSD,19.615
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Spain,ESP,80.321
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sri Lanka,LKA,18.476
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Kitts and Nevis,KNA,30.776
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Lucia,LCA,18.678
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Martin (French part),MAF,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Vincent and the Grenadines,VCT,52.198
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sudan,SDN,34.642
