"","Country","AgriLand","RuralPop","AdoFertRate","CO2","Exports","FertRate","GNI","Imports","Literacy","PopGrowth","PopTotal","UrbanPop","Pop14Below","Diabetes","DPTVaccine","Pop65Above","MeaslesVacc","LegalRights","PM25","PopDensity","Cellphones","AirTravel","TourismIn","InfantMort","LifeExp","ThreatPlant","ThreatMammal","ThreatFish","CovidCases","CovidDeaths","Govt","Climate"
"1","Afghanistan",58.068,74.505,65.141,0.294,NA,4.473,550,NA,43.02,2.385,37172386,25.495,43.683,9.2,66,2.585,64,"strong",56.911,56.938,59.121,24433.446,3.103,47.9,64.486,5,11,4,1092,36,"presidential republic","arid"
"3","Albania",43.128,39.681,19.572,1.979,31.685,1.617,4860,45.398,98.141,-0.247,2866376,60.319,18.028,9,99,13.745,94,"relatively strong",18.201,104.612,94.177,2935,48.195,7.8,78.458,4,3,44,609,26,"parliamentary republic","temperate"
"4","Algeria",17.366,27.371,9.834,3.736,25.624,3.023,NA,32.341,81.408,2.007,42228429,72.629,29.64,6.7,91,6.362,80,"weak",38.884,17.73,111.665,77463,NA,20.1,76.693,22,14,41,2811,392,"presidential republic","arid"
"5","American Samoa",24.5,12.847,NA,NA,68.868,NA,NA,99.371,NA,-0.279,55465,87.153,NA,NA,NA,NA,NA,NA,12.474,277.325,NA,NA,NA,NA,NA,1,1,12,NA,NA,"other","tropical"
"6","Andorra",39.957,11.938,NA,5.833,NA,NA,NA,NA,NA,0.006,77006,88.062,NA,7.7,99,NA,99,NA,10.308,163.843,107.283,NA,NA,2.7,NA,0,2,0,717,37,"parliamentary democracy","temperate"
"7","Angola",47.477,34.486,147.958,1.29,NA,5.519,3370,NA,NA,3.276,30809762,65.514,46.953,4.5,59,2.216,50,"weak",32.389,24.713,43.131,13978,1.346,51.6,60.782,34,18,53,24,2,"presidential republic","arid"
"10","Antigua and Barbuda",20.455,75.401,41.831,5.744,NA,1.994,15890,NA,NA,0.897,96286,24.599,22.232,13.1,95,8.8,96,"relatively weak",18.622,218.832,NA,23206.966,84.311,5,76.885,4,2,31,24,3,"monarchy","tropical"
"11","Arab World",36.611,41.075,NA,4.887,47.369,NA,6367.237,39.564,74.597,1.916,419790588,58.925,32.889,12.536,86.246,4.558,84.839,"weak",58.689,37.372,99.432,1493348.769,9.989,26.478,NA,415,248,672,NA,NA,NA,NA
"13","Argentina",54.336,8.13,62.565,4.782,14.281,2.261,12390,16.42,99.004,1.016,44494502,91.87,24.927,5.9,86,11.118,94,"weak",13.312,16.259,132.093,161688,7.857,8.8,76.52,70,38,42,3132,151,"presidential republic","temperate"
"14","Armenia",58.897,36.851,20.886,1.899,37.807,1.755,4230,53.482,NA,0.236,2951776,63.149,20.454,6.1,92,11.254,95,"relatively weak",32.528,103.68,121.259,NA,26.317,11,74.945,74,9,3,1473,24,"parliamentary democracy","other"
"15","Aruba",11.111,56.589,21.174,8.41,NA,1.896,NA,NA,97.807,0.454,105845,43.411,17.98,11.6,NA,13.551,NA,NA,NA,588.028,NA,2276,NA,NA,76.152,2,2,24,97,2,"parliamentary democracy","tropical"
"18","Australia",48.242,13.988,11.326,15.389,21.805,1.74,53230,21.388,NA,1.536,24982688,86.012,19.065,5.6,95,15.656,95,"strong",8.55,3.249,113.579,665384,14.461,3.1,82.749,108,63,125,6647,74,"monarchy","arid"
"19","Austria",32.357,41.703,7.044,6.87,55.756,1.52,49310,52.034,NA,0.487,8840521,58.297,14.231,6.6,85,19.002,94,"relatively weak",12.478,107.207,123.535,130260,10.012,2.9,81.644,17,3,11,14833,463,"parliamentary republic","temperate"
"20","Azerbaijan",57.736,44.32,56.498,3.932,54.292,1.8,4050,37.719,NA,0.867,9939800,55.68,23.288,6.1,95,6.195,96,"relatively strong",19.929,120.265,103.921,19960,11.105,19.2,72.864,44,8,14,1480,20,"presidential republic","arid"
"21","Bahamas, The",1.399,16.975,29.225,6.52,36.08,1.752,30520,41.27,NA,1.011,385640,83.025,22.874,8.8,90,7.258,89,"relatively weak",17.368,38.525,98.951,56629.457,77.247,8.3,73.752,7,5,43,NA,NA,"monarchy","tropical"
"22","Bahrain",11.054,10.713,13.239,23.455,79.936,1.987,21890,71.657,97.464,4.921,1569439,89.287,19.841,15.6,99,2.426,99,"weak",70.816,2017.274,133.341,57094,12.739,6.1,77.163,0,3,14,1973,7,"monarchy","arid"
"23","Bangladesh",70.632,63.368,82.313,0.474,14.801,2.036,1750,23.444,73.912,1.05,161356039,36.632,28.225,9.2,98,5.158,97,"relatively weak",60.846,1239.579,100.245,101383.466,0.808,25.1,72.32,23,37,29,3382,110,"parliamentary republic","tropical"
